UUID,Modified,Creator,Publisher,Title,DatasetURI,Description,TopicCategory,DateIssued,Formats,Links
4e49bbf6-694d-491b-a620-9e1244cdaf23,2017-11-20T20:44:47.835916,Philadelphia Water Department,City of Philadelphia,Stormwater Outfalls,outfalls,"This point layer contains all the stormwater outfalls. The Purpose of this data is to describe the asset both locationally and via its attributes which are extensive for a GIS dataset and which are maintained. This data will serve as a platform for planning, analysis and research at PWD. 

Trouble downloading or have questions about this City dataset? Visit the [OpenDataPhilly Discussion Group](http://www.phila.gov/data/discuss/)
",Environment,2015-10-07T16:04:20.089184,"HTML, CSV, shp","http://cityofphiladelphia.github.io/metadata-catalog/#home/datasetdetails/56018532077169215719b5c9/representationdetails/5612cd02e1f964e95ab0fdc2/, http://gis.phila.gov/gisdata/ODP/PWD_Outfalls.csv, http://gis.phila.gov/gisdata/ODP/PWD_Outfalls.zip"
bbb7be33-1fab-42b8-9a1e-d83225372cea,2017-11-20T20:44:25.292225,Philadelphia Water Department,City of Philadelphia,Dams,dams,"This layer shows point representation of all the dams in Philadelphia with latitude and longitude coordinates.

Trouble downloading or have questions about this City dataset? Visit the [OpenDataPhilly Discussion Group](http://www.phila.gov/data/discuss/)",,2015-10-05T20:54:30.050561,"CSV, shp, KML, geojson, api, HTML","http://data.phl.opendata.arcgis.com/datasets/63190d33b80e401db99cfba5b5faa125_0.csv, http://data.phl.opendata.arcgis.com/datasets/63190d33b80e401db99cfba5b5faa125_0.zip, http://data.phl.opendata.arcgis.com/datasets/63190d33b80e401db99cfba5b5faa125_0.kml, http://data.phl.opendata.arcgis.com/datasets/63190d33b80e401db99cfba5b5faa125_0.geojson, https://services.arcgis.com/fLeGjb7u4uXqeF9q/arcgis/rest/services/DAMS/FeatureServer/0/query?outFields=*&where=1%3D1, http://metadata.phila.gov/#home/datasetdetails/560184fd077169215719b5a6/representationdetails/5612c7e4b96c129517118cc9/"
de081a94-aa9c-4518-a792-8556a21e3cf0,2017-11-20T20:42:39.101491,Philadelphia Water Department,City of Philadelphia,Stormwater Grant Awardees,stormwater-grant-awardees,"The City of Philadelphia, through the Philadelphia Water Department (PWD) and Philadelphia Industrial Development Corporation (PIDC), has created the Stormwater Management Incentives Program (SMIP) and the Greened Acre Retrofit Program (GARP) to reduce the price for qualified non-residential PWD customers and contractors to design and install stormwater best management practices.

Trouble downloading or have questions about this City dataset? Visit the [OpenDataPhilly Discussion Group](http://www.phila.gov/data/discuss/)",Environment,2015-10-15T15:23:45.154443,"api, CSV, KML, shp, geojson, HTML","https://services.arcgis.com/fLeGjb7u4uXqeF9q/arcgis/rest/services/Stormwater_Grants/FeatureServer/0/query?outFields=*&where=1%3D1, http://data.phl.opendata.arcgis.com/datasets/ab58e7eeb5a5430ca7bc17485c879330_0.csv, http://data.phl.opendata.arcgis.com/datasets/ab58e7eeb5a5430ca7bc17485c879330_0.kml, http://data.phl.opendata.arcgis.com/datasets/ab58e7eeb5a5430ca7bc17485c879330_0.zip, http://data.phl.opendata.arcgis.com/datasets/ab58e7eeb5a5430ca7bc17485c879330_0.geojson, http://metadata.phila.gov/#home/datasetdetails/5617d54efbc5055b2b20f448/representationdetails/561fc717f239f9a07fb37ec5/"
18680ec1-2747-4140-a343-dac9535fefd7,2017-11-20T20:42:11.435617,"PASDA, Philadelphia Water Department",City of Philadelphia,Topographic Contours,topographic-contours,"Topographic contours, developed by the City of Philadelphia Water Department based on aerial survey performed in 1996.  Annotation of Contour Line elevations exists. Annotation viewable at 1"" = 200'. The city-wide contour download file is approximately 250 megabytes.

Trouble downloading or have questions about this City dataset? Visit the [OpenDataPhilly Discussion Group](http://www.phila.gov/data/discuss/)",Environment,2014-12-08T22:22:40.010029,"HTML, shp","http://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=PhiladelphiaContours10ft200712.xml, http://www.pasda.psu.edu/data/philacity/data/PhiladelphiaContours10ft200712.zip, http://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=PhiladelphiaContours2ft200712.xml, http://www.pasda.psu.edu/data/philacity/data/PhiladelphiaContours2ft200712.zip"
bbbd90d4-bac1-4347-9502-1e9d31df041b,2017-11-20T20:41:37.988955,Philadelphia Water Department,City of Philadelphia,Water Inlets,water-inlets,"This point layer contains all the wastewater and stormwater inlets in Philadelphia with latitude and longitude coordinates. 

Trouble downloading or have questions about this City dataset? Visit the [OpenDataPhilly Discussion Group](http://www.phila.gov/data/discuss/)",Environment,2014-12-08T22:15:36.513147,"shp, CSV, HTML","http://gis.phila.gov/gisdata/ODP/PWD_Inlets.zip, http://gis.phila.gov/gisdata/ODP/PWD_Inlets.csv, http://metadata.phila.gov/#home/datasetdetails/5543864920583086178c4e87/representationdetails/55438a889b989a05172d0d07/"
af9de9b5-1063-445b-809f-2a85d551f94b,2017-11-20T20:41:21.921982,Philadelphia Water Department,City of Philadelphia,Impervious Surfaces,impervious-surfaces,"This is one of the planimetric coverages developed as part of the aerial survey project of 1996 and updated using new aerial photography collected between 25 March 2004 and 23 April 2004.

Trouble downloading or have questions about this City dataset? Visit the [OpenDataPhilly Discussion Group](http://www.phila.gov/data/discuss/)","Environment, Real Estate / Land Records",2014-12-08T22:54:44.588037,"HTML, shp","http://metadata.phila.gov/#home/datasetdetails/5543868720583086178c4f88/representationdetails/55438ada9b989a05172d0d91/, https://phila-gisdata.s3.amazonaws.com/ODP/GSG_Impervious.zip"
07a390fb-9a46-4946-8cc9-62aa3455fcf9,2017-11-20T20:41:01.268262,Philadelphia Water Department,City of Philadelphia,PWD Stormwater Billing Parcels,pwd-stormwater-billing-parcels,"The primary purpose of PWD_PARCEL layer is to calculate parcel-based stormwater charges for PWD customers under the new parcel-based stormwater billing program.

Trouble downloading or have questions about this City dataset? Visit the [OpenDataPhilly Discussion Group](http://www.phila.gov/data/discuss/)",Environment,2015-09-11T19:45:37.890599,"CSV, shp, HTML","http://gis.phila.gov/gisdata/ODP/PWD_Parcels.csv, http://gis.phila.gov/gisdata/ODP/PWD_Parcels.zip, http://metadata.phila.gov/#home/datasetdetails/5543864620583086178c4e7a/representationdetails/55438a829b989a05172d0cfa/"
4fb13221-357c-4dc0-adf8-f222ca403542,2017-11-20T20:40:07.390993,Department of Planning and Development,City of Philadelphia,City Limits,city-limits,"To provide a base for very generalized maps or used as an outline in conjunction with other data layers.  Establishes City Limits for City's Standard Boundary Format. This layer was updated on July 22, 2012.

Trouble downloading or have questions about this City dataset? Visit the [OpenDataPhilly Discussion Group](http://www.phila.gov/data/discuss/)",Planning / Zoning,2014-12-08T22:45:50.420741,"CSV, api, shp, geojson, HTML, KML","http://data.phl.opendata.arcgis.com/datasets/405ec3da942d4e20869d4e1449a2be48_0.csv, https://services.arcgis.com/fLeGjb7u4uXqeF9q/arcgis/rest/services/City_Limits/FeatureServer/0/query?outFields=*&where=1%3D1, http://data.phl.opendata.arcgis.com/datasets/405ec3da942d4e20869d4e1449a2be48_0.zip, http://data.phl.opendata.arcgis.com/datasets/405ec3da942d4e20869d4e1449a2be48_0.geojson, http://metadata.phila.gov/#home/datasetdetails/5543868820583086178c4f89/, http://data.phl.opendata.arcgis.com/datasets/405ec3da942d4e20869d4e1449a2be48_0.kml"
15a4f402-0377-4ac4-82d5-90f29a7f60d3,2017-11-20T20:39:58.249113,Department of Planning and Development,City of Philadelphia,Schools,schools,"Data includes points identifying public schools, charter schools, many private schools, school annexes, and athletic fields and facilities. The types of data were extended from previous schools layers in order to assist the Streets Department in their school signage and crosswalk initiatives. 

Trouble downloading or have questions about this City dataset? Visit the [OpenDataPhilly Discussion Group](http://www.phila.gov/data/discuss/)",Education,2014-12-08T21:57:28.065312,"HTML, CSV, KML, shp, geojson, api","http://metadata.phila.gov/#home/datasetdetails/5543866320583086178c4ef1/, http://data.phl.opendata.arcgis.com/datasets/d46a7e59e2c246c891fbee778759717e_0.csv, http://data.phl.opendata.arcgis.com/datasets/d46a7e59e2c246c891fbee778759717e_0.kml, http://data.phl.opendata.arcgis.com/datasets/d46a7e59e2c246c891fbee778759717e_0.zip, http://data.phl.opendata.arcgis.com/datasets/d46a7e59e2c246c891fbee778759717e_0.geojson, https://services.arcgis.com/fLeGjb7u4uXqeF9q/arcgis/rest/services/Schools/FeatureServer/0/query?outFields=*&where=1%3D1"
3ebeaa52-dfdb-4f99-a321-0831e9ed3d7d,2017-11-20T20:39:49.008177,Department of Planning and Development,City of Philadelphia,Registered Community Organizations,registered-community-organizations,"Boundaries of Registered Community Organizations (RCO) as established under the City of Philadelphia Zoning Code enacted December 15, 2011 and made effective August 22, 2012.

Trouble downloading or have questions about this City dataset? Visit the [OpenDataPhilly Discussion Group](http://www.phila.gov/data/discuss/)",Planning / Zoning,2014-12-08T22:29:11.464086,"HTML, CSV, KML, shp, geojson, api","http://metadata.phila.gov/#home/datasetdetails/5543866e20583086178c4f20/, http://data.phl.opendata.arcgis.com/datasets/efbff0359c3e43f190e8c35ce9fa71d6_0.csv, http://data.phl.opendata.arcgis.com/datasets/efbff0359c3e43f190e8c35ce9fa71d6_0.kml, http://data.phl.opendata.arcgis.com/datasets/efbff0359c3e43f190e8c35ce9fa71d6_0.zip, http://data.phl.opendata.arcgis.com/datasets/efbff0359c3e43f190e8c35ce9fa71d6_0.geojson, https://services.arcgis.com/fLeGjb7u4uXqeF9q/arcgis/rest/services/Zoning_RCO/FeatureServer/0/query?outFields=*&where=1%3D1"
8c7e9b1c-c5ad-4934-82bb-302f0722e566,2017-11-20T20:39:35.678652,Department of Planning and Development,City of Philadelphia,Planning Districts,planning-districts,"To illustrate the outlines of the 18 Districts for Philadelphia2035 District Plans.

Trouble downloading or have questions about this City dataset? Visit the [OpenDataPhilly Discussion Group](http://www.phila.gov/data/discuss/)",Planning / Zoning,2014-12-08T22:48:17.066907,"HTML, CSV, api, shp, geojson, KML","http://metadata.phila.gov/#home/datasetdetails/5543864620583086178c4e7d, http://data.phl.opendata.arcgis.com/datasets/0960ea0f38f44146bb562f2b212075aa_0.csv, https://services.arcgis.com/fLeGjb7u4uXqeF9q/arcgis/rest/services/Planning_Districts/FeatureServer/0/query?outFields=*&where=1%3D1, http://data.phl.opendata.arcgis.com/datasets/0960ea0f38f44146bb562f2b212075aa_0.zip, http://data.phl.opendata.arcgis.com/datasets/0960ea0f38f44146bb562f2b212075aa_0.geojson, http://data.phl.opendata.arcgis.com/datasets/0960ea0f38f44146bb562f2b212075aa_0.kml"
350c16e0-fabe-434c-aaeb-82d5ded9eaf5,2017-11-20T20:39:05.573571,Department of Planning and Development,City of Philadelphia,Philadelphia Universities and Colleges,philadelphia-universities-and-colleges,"The purpose of this dataset is to provide the geographic locations of the college and universities in Philadelphia along with their attribute data attached to each polygon.

Trouble downloading or have questions about this City dataset? Visit the [OpenDataPhilly Discussion Group](http://www.phila.gov/data/discuss/)
",Education,2017-06-22T13:16:48.459471,"CSV, shp, KML, geoservice, geojson, HTML","http://data.phl.opendata.arcgis.com/datasets/8ad76bc179cf44bd9b1c23d6f66f57d1_0.csv, http://data.phl.opendata.arcgis.com/datasets/8ad76bc179cf44bd9b1c23d6f66f57d1_0.zip, http://data.phl.opendata.arcgis.com/datasets/8ad76bc179cf44bd9b1c23d6f66f57d1_0.kml, https://services.arcgis.com/fLeGjb7u4uXqeF9q/arcgis/rest/services/Universities_Colleges/FeatureServer/0/query?outFields=*&where=1%3D1, http://data.phl.opendata.arcgis.com/datasets/8ad76bc179cf44bd9b1c23d6f66f57d1_0.geojson, http://metadata.phila.gov/#home/datasetdetails/56ccbdb319eb87e11e04a201/representationdetails/56ccbdb319eb87e11e04a203/"
96f0c7f6-d344-490e-84ed-8127c4e3d829,2017-11-20T20:38:25.606149,Department of Planning and Development,City of Philadelphia,Empowerment Zones,empowerment-zones,"Data includes commercial and industrial zones, i.e. areas with specific federal-granted special amenities (tax incentives, loans/grants) meant to attract and support businesses in blighted areas. Blighted areas are defined as meeting one of seven city mandated criteria, including unsafe, unsanitary and inadequate conditions; economically or socially undesirable land use; and faulty street and lot layout.

Trouble downloading or have questions about this City dataset? Visit the [OpenDataPhilly Discussion Group](http://www.phila.gov/data/discuss/)","Economy, Planning / Zoning",2014-12-08T22:30:22.412019,HTML,"http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=167, http://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=PhiladelphiaEmpowermentZones201201.xml"
b181f41b-e243-4028-9aee-6b1b6024f0c3,2017-11-20T20:38:12.982967,Department of Planning and Development,City of Philadelphia,Political Ward Divisions,political-ward-divisions,"Boundaries of the ward divisions (subunits of wards) in Philadelphia. The first two numbers of a four number division identifier indicates the ward in which the specific division is located.

Trouble downloading or have questions about this City dataset? Visit the [OpenDataPhilly Discussion Group](http://www.phila.gov/data/discuss/)",Elections / Politics,2014-12-08T22:56:02.445787,"HTML, CSV, KML, shp, geojson, api","http://metadata.phila.gov/#home/datasetdetails/5543866f20583086178c4f25/, http://data.phl.opendata.arcgis.com/datasets/160a3665943d4864806d7b1399029a04_0.csv, http://data.phl.opendata.arcgis.com/datasets/160a3665943d4864806d7b1399029a04_0.kml, http://data.phl.opendata.arcgis.com/datasets/160a3665943d4864806d7b1399029a04_0.zip, http://data.phl.opendata.arcgis.com/datasets/160a3665943d4864806d7b1399029a04_0.geojson, https://services.arcgis.com/fLeGjb7u4uXqeF9q/arcgis/rest/services/Political_Divisions/FeatureServer/0/query?outFields=*&where=1%3D1"
